species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
CH3O2+ 4.802995041249e-01 4.801982085688e-01 4.802995041249e-01 1.012955560356e-04
c-C3H2+ 4.579718300532e-01 4.577103979931e-01 4.579718300532e-01 2.614320600571e-04
C3H+ 4.170885485496e-01 4.169082373970e-01 4.170885485496e-01 1.803111526044e-04
NH4+ 4.118963331941e-01 4.116608823375e-01 4.118963331941e-01 2.354508566000e-04
HOCO+ 3.982909802954e-01 3.982861903316e-01 3.982909802954e-01 4.789963764296e-06
CH2CN+ 3.887616995907e-01 3.885782773671e-01 3.887616995907e-01 1.834222235892e-04
C2O+ 3.823980001312e-01 3.822356954659e-01 3.823980001312e-01 1.623046652099e-04
H2COH+ 3.432116720678e-01 3.431476271729e-01 3.432116720678e-01 6.404489488432e-05
C2HO+ 3.395997154537e-01 3.394675381938e-01 3.395997154537e-01 1.321772598821e-04
CCO 3.246129836563e-01 3.245654366164e-01 3.246129836563e-01 4.754703994791e-05
CNC+ 3.125817316360e-01 3.123577005721e-01 3.125817316360e-01 2.240310639046e-04
C3+ 3.120143012460e-01 3.119557302457e-01 3.120143012460e-01 5.857100028805e-05
NH3+ 2.983644696819e-01 2.982129877624e-01 2.983644696819e-01 1.514819195663e-04
CCl+ 2.958600095339e-01 2.957162033432e-01 2.958600095339e-01 1.438061906960e-04
C2H3+ 2.951296446256e-01 2.950994684284e-01 2.951296446256e-01 3.017619714640e-05
NH2 2.902653723463e-01 2.901990448553e-01 2.902653723463e-01 6.632749092361e-05
SiNC+ 2.882537942366e-01 2.880559414605e-01 2.882537942366e-01 1.978527760578e-04
C2H2+ 2.813412719387e-01 2.813111425800e-01 2.813412719387e-01 3.012935875191e-05
CCH 2.807051909093e-01 2.807051909093e-01 2.806555064015e-01 4.968450781107e-05
H2NC+ 2.720143951381e-01 2.718976215880e-01 2.720143951381e-01 1.167735500296e-04
HCNH+ 2.681480291592e-01 2.679407888774e-01 2.681480291592e-01 2.072402817799e-04
HNC 2.650234757191e-01 2.649026741700e-01 2.650234757191e-01 1.208015490981e-04
HC2N+ 2.636141554660e-01 2.635302417537e-01 2.636141554660e-01 8.391371224192e-05
H2CO+ 2.618147298648e-01 2.617569897289e-01 2.618147298648e-01 5.774013594717e-05
HCN 2.509314010495e-01 2.508269022350e-01 2.509314010495e-01 1.044988145047e-04
HCO+ 2.429218902451e-01 2.429046266447e-01 2.429218902451e-01 1.726360037324e-05
HOC+ 2.391071215805e-01 2.390176261672e-01 2.391071215805e-01 8.949541332726e-05
H2Cl+ 2.386863873192e-01 2.385711006356e-01 2.386863873192e-01 1.152866836449e-04
HCl 2.361099959453e-01 2.360807464346e-01 2.361099959453e-01 2.924951069971e-05
H2F+ 2.310506227852e-01 2.309438549912e-01 2.310506227852e-01 1.067677940565e-04
HNO 2.307858178447e-01 2.307720448247e-01 2.307858178447e-01 1.377302003647e-05
N2H+ 2.254144088614e-01 2.252398133581e-01 2.254144088614e-01 1.745955032781e-04
OCS+ 2.215194738774e-01 2.213955160475e-01 2.215194738774e-01 1.239578299170e-04
CH3+ 2.141456723722e-01 2.141434409576e-01 2.141456723722e-01 2.231414622855e-06
C2N+ 2.081837531001e-01 2.081468214432e-01 2.081837531001e-01 3.693165688290e-05
CH3 2.075823073332e-01 2.075823073332e-01 2.074986289875e-01 8.367834570677e-05
HSiNH+ 2.008516916666e-01 2.006800231646e-01 2.008516916666e-01 1.716685020128e-04
CO2 1.903640175260e-01 1.903640175260e-01 1.903640175260e-01 0.000000000000e+00
NS+ 1.869861731221e-01 1.869136567989e-01 1.869861731221e-01 7.251632319161e-05
CO 1.851403309031e-01 1.851403309031e-01 1.850770518844e-01 6.327901874315e-05
H3O+ 1.839321189986e-01 1.838797259798e-01 1.839321189986e-01 5.239301874127e-05
Cl 1.825632037592e-01 1.825632037592e-01 1.825281898501e-01 3.501390915517e-05
N2 1.819689081433e-01 1.819689081433e-01 1.819345641731e-01 3.434397023661e-05
CF+ 1.802013896849e-01 1.800870761969e-01 1.802013896849e-01 1.143134880639e-04
SiF+ 1.802013785367e-01 1.800870652992e-01 1.802013785367e-01 1.143132374217e-04
H2O 1.796347978796e-01 1.796347978796e-01 1.796012486375e-01 3.354924210441e-05
PO+ 1.770293665082e-01 1.769817441099e-01 1.770293665082e-01 4.762239827194e-05
NH2+ 1.758716629019e-01 1.758295358094e-01 1.758716629019e-01 4.212709249174e-05
SO+ 1.724709872641e-01 1.724326921730e-01 1.724709872641e-01 3.829509111775e-05
CHSi+ 1.724083338142e-01 1.723690890528e-01 1.724083338142e-01 3.924476134998e-05
C2H+ 1.694763550974e-01 1.694763550974e-01 1.694288351107e-01 4.751998675800e-05
O2 1.655472859599e-01 1.655472859599e-01 1.654769288912e-01 7.035706875769e-05
CH2 1.639860886270e-01 1.639860886270e-01 1.639028868757e-01 8.320175134813e-05
PH+ 1.633862424862e-01 1.633700874819e-01 1.633862424862e-01 1.615500426055e-05
HCS+ 1.632426663688e-01 1.632200016861e-01 1.632426663688e-01 2.266468265688e-05
H2NO+ 1.579392394019e-01 1.578568216110e-01 1.579392394019e-01 8.241779087825e-05
C2 1.570649517577e-01 1.570649517577e-01 1.569933520329e-01 7.159972484772e-05
HCN+ 1.516449256854e-01 1.515631558141e-01 1.516449256854e-01 8.176987132202e-05
SiO+ 1.418283724741e-01 1.418283724741e-01 1.418172677274e-01 1.110474671506e-05
O+ 1.308548541741e-01 1.307368865008e-01 1.308548541741e-01 1.179676732610e-04
NaH2+ 1.252670332574e-01 1.251657206580e-01 1.252670332574e-01 1.013125994334e-04
